Open,High,Low,Close,Volume,Dividends,Stock Splits,time,time_str,loc_index,unix_time,Mid
65923.234375,65923.234375,65883.1171875,65892.015625,0,0.0,0.0,2024-07-24 07:05:00+00:00,07-05,85,1721804700.0,65903.17578125
65886.859375,65926.5625,65886.0,65926.5625,0,0.0,0.0,2024-07-24 07:10:00+00:00,07-10,86,1721805000.0,65906.28125
65978.21875,65978.21875,65951.1171875,65968.5078125,0,0.0,0.0,2024-07-24 07:15:00+00:00,07-15,87,1721805300.0,65964.66796875
65973.578125,66016.2890625,65973.578125,65991.375,0,0.0,0.0,2024-07-24 07:20:00+00:00,07-20,88,1721805600.0,65994.93359375
66000.1640625,66027.9765625,65999.953125,66003.84375,0,0.0,0.0,2024-07-24 07:25:00+00:00,07-25,89,1721805900.0,66013.96484375
66012.046875,66012.046875,65944.5390625,65944.5390625,0,0.0,0.0,2024-07-24 07:30:00+00:00,07-30,90,1721806200.0,65978.29296875
65938.0390625,65996.3515625,65938.0390625,65987.1796875,0,0.0,0.0,2024-07-24 07:35:00+00:00,07-35,91,1721806500.0,65967.1953125
66002.75,66017.3046875,66002.75,66012.546875,2803712,0.0,0.0,2024-07-24 07:40:00+00:00,07-40,92,1721806800.0,66010.02734375
66010.7890625,66021.90625,66007.765625,66008.0234375,0,0.0,0.0,2024-07-24 07:45:00+00:00,07-45,93,1721807100.0,66014.8359375
66012.3671875,66012.3671875,65991.0390625,65998.6484375,0,0.0,0.0,2024-07-24 07:50:00+00:00,07-50,94,1721807400.0,66001.703125
65986.59375,66038.3515625,65986.59375,66038.3515625,14065664,0.0,0.0,2024-07-24 07:55:00+00:00,07-55,95,1721807700.0,66012.47265625
66062.078125,66093.921875,66016.390625,66016.390625,0,0.0,0.0,2024-07-24 08:00:00+00:00,08-00,96,1721808000.0,66055.15625
66019.84375,66231.1875,66019.84375,66231.1875,0,0.0,0.0,2024-07-24 08:05:00+00:00,08-05,97,1721808300.0,66125.515625
66310.7890625,66320.171875,66293.234375,66302.3828125,102055936,0.0,0.0,2024-07-24 08:10:00+00:00,08-10,98,1721808600.0,66306.703125
66243.125,66282.4921875,66243.125,66282.4921875,110237696,0.0,0.0,2024-07-24 08:15:00+00:00,08-15,99,1721808900.0,66262.80859375
66270.3515625,66292.8984375,66198.9375,66198.9375,93966336,0.0,0.0,2024-07-24 08:20:00+00:00,08-20,100,1721809200.0,66245.91796875
66188.1015625,66188.2734375,66180.5703125,66188.0546875,0,0.0,0.0,2024-07-24 08:25:00+00:00,08-25,101,1721809500.0,66184.421875
66213.78125,66255.2109375,66213.78125,66255.2109375,0,0.0,0.0,2024-07-24 08:30:00+00:00,08-30,102,1721809800.0,66234.49609375
66268.8515625,66339.890625,66257.6328125,66339.890625,0,0.0,0.0,2024-07-24 08:35:00+00:00,08-35,103,1721810100.0,66298.76171875
66360.3046875,66376.9375,66360.3046875,66376.9375,0,0.0,0.0,2024-07-24 08:40:00+00:00,08-40,104,1721810400.0,66368.62109375
66365.2265625,66425.703125,66354.421875,66382.9296875,0,0.0,0.0,2024-07-24 08:45:00+00:00,08-45,105,1721810700.0,66390.0625
66374.3515625,66413.875,66364.7734375,66413.875,0,0.0,0.0,2024-07-24 08:50:00+00:00,08-50,106,1721811000.0,66389.32421875
66394.0625,66451.0625,66394.0625,66431.6953125,24164352,0.0,0.0,2024-07-24 08:55:00+00:00,08-55,107,1721811300.0,66422.5625
66436.4140625,66436.4140625,66395.84375,66411.1328125,0,0.0,0.0,2024-07-24 09:00:00+00:00,09-00,108,1721811600.0,66416.12890625
66405.3046875,66405.3046875,66329.6484375,66329.6484375,0,0.0,0.0,2024-07-24 09:05:00+00:00,09-05,109,1721811900.0,66367.4765625
66346.046875,66350.03125,66322.1953125,66322.1953125,0,0.0,0.0,2024-07-24 09:10:00+00:00,09-10,110,1721812200.0,66336.11328125
66324.6875,66356.9921875,66324.6875,66356.9921875,0,0.0,0.0,2024-07-24 09:15:00+00:00,09-15,111,1721812500.0,66340.83984375
66384.8515625,66465.5390625,66384.8515625,66449.921875,512000,0.0,0.0,2024-07-24 09:20:00+00:00,09-20,112,1721812800.0,66425.1953125
66416.4609375,66416.4609375,66357.046875,66357.046875,22280192,0.0,0.0,2024-07-24 09:25:00+00:00,09-25,113,1721813100.0,66386.75390625
66418.84375,66431.484375,66400.6875,66400.6875,0,0.0,0.0,2024-07-24 09:30:00+00:00,09-30,114,1721813400.0,66416.0859375
